time_s,qpos,qpos_unshifted,qvel,qact,target_qvel,qtorque_cmd,kp,kd
0.0,0.0,0.0,0.0,-0.6629613325702011,0.0,-19.88883997710603,30.0,0.8
0.001,0.0,0.0,-0.008790969848632812,-0.6629613325702011,0.0,-19.881807201227126,30.0,0.8
0.002,0.0,0.0,-0.07912063598632812,-0.6629613325702011,0.0,-19.82554346831697,30.0,0.8
0.003,-0.0003814697265625,-0.0003814697265625,-0.2637367248535156,-0.6629613325702011,0.0,-19.666406505426345,30.0,0.8
0.004,-0.000762939453125,-0.000762939453125,-0.4923076629638672,-0.6629613325702011,0.0,-19.472105663141186,30.0,0.8
0.005,-0.00152587890625,-0.00152587890625,-0.7296695709228516,-0.6629613325702011,0.0,-19.25932795318025,30.0,0.8
0.006,-0.002288818359375,-0.002288818359375,-0.8879127502441406,-0.6629613325702011,0.0,-19.10984522612947,30.0,0.8
0.007,-0.003814697265625,-0.003814697265625,-1.2395610809326172,-0.6629613325702011,0.0,-18.782750194391188,30.0,0.8
0.008,-0.0049591064453125,-0.0049591064453125,-1.3978023529052734,-0.6629613325702011,0.0,-18.621824901422436,30.0,0.8
0.009000000000000001,-0.0064849853515625,-0.0064849853515625,-1.5208797454833984,-0.6629613325702011,0.0,-18.47758662017244,30.0,0.8
0.01,-0.0080108642578125,-0.0080108642578125,-1.4329662322998047,-0.6629613325702011,0.0,-18.502141063531813,30.0,0.8
0.011,-0.0091552734375,-0.0091552734375,-1.2219772338867188,-0.6629613325702011,0.0,-18.636599986871655,30.0,0.8
0.012,-0.01068115234375,-0.01068115234375,-1.3450546264648438,-0.6629613325702011,0.0,-18.492361705621654,30.0,0.8
0.013000000000000001,-0.01220703125,-0.01220703125,-1.6967029571533203,-0.6629613325702011,0.0,-18.165266673883373,30.0,0.8
0.014,-0.014495849609375,-0.014495849609375,-2.1010990142822266,-0.6629613325702011,0.0,-17.773085277398998,30.0,0.8
0.015,-0.0164031982421875,-0.0164031982421875,-1.9692306518554688,-0.6629613325702011,0.0,-17.821359508356032,30.0,0.8
0.016,-0.0179290771484375,-0.0179290771484375,-1.6175823211669922,-0.6629613325702011,0.0,-18.056901805719313,30.0,0.8
0.017,-0.01983642578125,-0.01983642578125,-1.8461532592773438,-0.6629613325702011,0.0,-17.816824596246654,30.0,0.8
0.018000000000000002,-0.022125244140625,-0.022125244140625,-2.276923179626465,-0.6629613325702011,0.0,-17.403544109186107,30.0,0.8
0.019,-0.0244140625,-0.0244140625,-2.2857141494750977,-0.6629613325702011,0.0,-17.327846782525953,30.0,0.8
0.02,-0.0263214111328125,-0.0263214111328125,-1.8021984100341797,-0.6629613325702011,0.0,-17.65743891509431,30.0,0.8
0.021,-0.028228759765625,-0.028228759765625,-2.1010990142822266,-0.6629613325702011,0.0,-17.361097972711498,30.0,0.8
0.022,-0.0308990478515625,-0.0308990478515625,-2.778021812438965,-0.6629613325702011,0.0,-16.739451091607982,30.0,0.8
0.023,-0.033570289611816406,-0.033570289611816406,-2.4703292846679688,-0.6629613325702011,0.0,-16.905467861017165,30.0,0.8
0.024,-0.035477638244628906,-0.035477638244628906,-2.1274728775024414,-0.6629613325702011,0.0,-17.12253252776521,30.0,0.8
0.025,-0.038529396057128906,-0.038529396057128906,-2.795604705810547,-0.6629613325702011,0.0,-16.496474330743727,30.0,0.8
0.026000000000000002,-0.041199684143066406,-0.041199684143066406,-2.8043956756591797,-0.6629613325702011,0.0,-16.409332912286693,30.0,0.8
0.027,-0.043488502502441406,-0.043488502502441406,-2.048351287841797,-0.6629613325702011,0.0,-16.94550387175935,30.0,0.8
0.028,-0.045777320861816406,-0.045777320861816406,-2.3208789825439453,-0.6629613325702011,0.0,-16.658817165216384,30.0,0.8
0.029,-0.048447608947753906,-0.048447608947753906,-3.006593704223633,-0.6629613325702011,0.0,-16.030136745294506,30.0,0.8
0.03,-0.050736427307128906,-0.050736427307128906,-2.25054931640625,-0.6629613325702011,0.0,-16.566307704767162,30.0,0.8
0.031,-0.053025245666503906,-0.053025245666503906,-2.1010990142822266,-0.6629613325702011,0.0,-16.61720339568513,30.0,0.8
0.032,-0.055695533752441406,-0.055695533752441406,-2.6109886169433594,-0.6629613325702011,0.0,-16.1291830709781,30.0,0.8
0.033,-0.057984352111816406,-0.057984352111816406,-2.4175825119018555,-0.6629613325702011,0.0,-16.215243404230055,30.0,0.8
0.034,-0.059891700744628906,-0.059891700744628906,-1.7054939270019531,-0.6629613325702011,0.0,-16.7276938131656,30.0,0.8
0.035,-0.061417579650878906,-0.061417579650878906,-1.7318687438964844,-0.6629613325702011,0.0,-16.660817592462475,30.0,0.8
