time_s,qpos,qpos_unshifted,qvel,qact,target_qvel,qtorque_cmd,kp,kd
0.0,0.0,0.0,0.0,-0.34605544678887856,0.0,-6.921108935777571,20.0,0.8
0.001,0.0,0.0,-0.008790969848632812,-0.34605544678887856,0.0,-6.914076159898665,20.0,0.8
0.002,0.0,0.0,-0.017581939697265625,-0.34605544678887856,0.0,-6.907043384019759,20.0,0.8
0.003,0.0,0.0,-0.0615386962890625,-0.34605544678887856,0.0,-6.871877978746321,20.0,0.8
0.004,-0.0003814697265625,-0.0003814697265625,-0.11428642272949219,-0.34605544678887856,0.0,-6.822050403062727,20.0,0.8
0.005,-0.0003814697265625,-0.0003814697265625,-0.1846160888671875,-0.34605544678887856,0.0,-6.765786670152571,20.0,0.8
0.006,-0.000762939453125,-0.000762939453125,-0.21977996826171875,-0.34605544678887856,0.0,-6.730026172105696,20.0,0.8
0.007,-0.000762939453125,-0.000762939453125,-0.28131866455078125,-0.34605544678887856,0.0,-6.680795215074446,20.0,0.8
0.008,-0.0011444091796875,-0.0011444091796875,-0.3252754211425781,-0.34605544678887856,0.0,-6.638000415269759,20.0,0.8
0.009000000000000001,-0.00152587890625,-0.00152587890625,-0.35164833068847656,-0.34605544678887856,0.0,-6.60927269310179,20.0,0.8
0.01,-0.0019073486328125,-0.0019073486328125,-0.39560508728027344,-0.34605544678887856,0.0,-6.566477893297103,20.0,0.8
0.011,-0.002288818359375,-0.002288818359375,-0.378021240234375,-0.34605544678887856,0.0,-6.572915576402571,20.0,0.8
0.012,-0.0026702880859375,-0.0026702880859375,-0.3692302703857422,-0.34605544678887856,0.0,-6.572318957750228,20.0,0.8
0.013000000000000001,-0.0030517578125,-0.0030517578125,-0.4395599365234375,-0.34605544678887856,0.0,-6.508425830308822,20.0,0.8
0.014,-0.0034332275390625,-0.0034332275390625,-0.4219779968261719,-0.34605544678887856,0.0,-6.514861987535384,20.0,0.8
0.015,-0.003814697265625,-0.003814697265625,-0.3604393005371094,-0.34605544678887856,0.0,-6.556463550035383,20.0,0.8
0.016,-0.0041961669921875,-0.0041961669921875,-0.33406639099121094,-0.34605544678887856,0.0,-6.569932483140852,20.0,0.8
0.017,-0.00457763671875,-0.00457763671875,-0.24615478515625,-0.34605544678887856,0.0,-6.632632373277572,20.0,0.8
0.018000000000000002,-0.00457763671875,-0.00457763671875,-0.21098899841308594,-0.34605544678887856,0.0,-6.660765002672102,20.0,0.8
