time_s,qpos,qpos_unshifted,qvel,qact,target_qvel,qtorque_cmd,kp,kd
0.0,0.0,0.0,0.0,0.0,0.15,0.12,20.0,0.8
0.001,0.0,0.0,0.0,0.00015,0.15,0.123,20.0,0.8
0.002,0.0,0.0,0.008790969848632812,0.0003,0.15000000000000002,0.11896722412109378,20.0,0.8
0.003,0.0,0.0,0.0,0.00045,0.15,0.129,20.0,0.8
0.004,0.0,0.0,-0.008790969848632812,0.0006,0.15000000000000005,0.1390327758789063,20.0,0.8
0.005,0.0,0.0,-0.017581939697265625,0.00075,0.15000000000000002,0.1490655517578125,20.0,0.8
0.006,0.0,0.0,0.008790969848632812,0.0009,0.14999999999999997,0.1309672241210937,20.0,0.8
0.007,0.0,0.0,-0.008790969848632812,0.00105,0.14999999999999997,0.14803277587890623,20.0,0.8
0.008,0.0,0.0,0.0,0.0012,0.1499999999999999,0.14399999999999993,20.0,0.8
0.009000000000000001,0.0,0.0,-0.017581939697265625,0.00135,0.15000000000000013,0.16106555175781262,20.0,0.8
0.01,0.0,0.0,0.017581939697265625,0.0015,0.15000000000000002,0.13593444824218753,20.0,0.8
0.011,0.0,0.0,-0.008790969848632812,0.0016499999999999998,0.1499999999999999,0.16003277587890619,20.0,0.8
0.012,0.0,0.0,0.0,0.0018,0.15000000000000002,0.15600000000000003,20.0,0.8
0.013000000000000001,0.0,0.0,0.008790969848632812,0.0019500000000000001,0.15000000000000013,0.15196722412109387,20.0,0.8
0.014,0.0,0.0,-0.008790969848632812,0.0021,0.1499999999999999,0.1690327758789062,20.0,0.8
0.015,0.0,0.0,0.0,0.00225,0.1499999999999999,0.16499999999999992,20.0,0.8
0.016,0.0,0.0,0.0,0.0024,0.15000000000000013,0.1680000000000001,20.0,0.8
0.017,0.0,0.0,0.008790969848632812,0.00255,0.15000000000000013,0.16396722412109388,20.0,0.8
0.018000000000000002,0.0,0.0,-0.008790969848632812,0.0027,0.1499999999999999,0.1810327758789062,20.0,0.8
0.019,0.0,0.0,0.0,0.0028499999999999997,0.15000000000000036,0.17700000000000027,20.0,0.8
