time_s,qpos,qpos_unshifted,qvel,qact,target_qvel,qtorque_cmd,kp,kd
0.0,-0.056839942932128906,-0.056839942932128906,0.008790969848632812,-0.3814205852010938,0.0,-4.877500603883106,15.0,1.0
0.001,-0.056839942932128906,-0.056839942932128906,0.03516578674316406,-0.3814205852010938,0.0,-4.903875420777637,15.0,1.0
0.002,-0.056839942932128906,-0.056839942932128906,-0.017581939697265625,-0.3814205852010938,0.0,-4.851127694337207,15.0,1.0
0.003,-0.057221412658691406,-0.057221412658691406,-0.026372909545898438,-0.3814205852010938,0.0,-4.836614678590137,15.0,1.0
0.004,-0.057221412658691406,-0.057221412658691406,-0.03516578674316406,-0.3814205852010938,0.0,-4.827821801392871,15.0,1.0
0.005,-0.057221412658691406,-0.057221412658691406,-0.07032966613769531,-0.3814205852010938,0.0,-4.79265792199834,15.0,1.0
0.006,-0.057221412658691406,-0.057221412658691406,-0.07912063598632812,-0.3814205852010938,0.0,-4.783866952149707,15.0,1.0
0.007,-0.057221412658691406,-0.057221412658691406,-0.10549545288085938,-0.3814205852010938,0.0,-4.757492135255176,15.0,1.0
0.008,-0.057602882385253906,-0.057602882385253906,-0.123077392578125,-0.3814205852010938,0.0,-4.734188149659473,15.0,1.0
0.009000000000000001,-0.057602882385253906,-0.057602882385253906,-0.14945030212402344,-0.3814205852010938,0.0,-4.707815240113574,15.0,1.0
0.01,-0.057602882385253906,-0.057602882385253906,-0.1758251190185547,-0.3814205852010938,0.0,-4.681440423219043,15.0,1.0
0.011,-0.057984352111816406,-0.057984352111816406,-0.1846160888671875,-0.3814205852010938,0.0,-4.666927407471973,15.0,1.0
0.012,-0.057984352111816406,-0.057984352111816406,-0.20219802856445312,-0.3814205852010938,0.0,-4.649345467774707,15.0,1.0
0.013000000000000001,-0.058365821838378906,-0.058365821838378906,-0.21098899841308594,-0.3814205852010938,0.0,-4.634832452027637,15.0,1.0
0.014,-0.058747291564941406,-0.058747291564941406,-0.21977996826171875,-0.3814205852010938,0.0,-4.620319436280567,15.0,1.0
0.015,-0.058747291564941406,-0.058747291564941406,-0.22857093811035156,-0.3814205852010938,0.0,-4.611528466431934,15.0,1.0
0.016,-0.059128761291503906,-0.059128761291503906,-0.20219802856445312,-0.3814205852010938,0.0,-4.632179330079395,15.0,1.0
0.017,-0.059128761291503906,-0.059128761291503906,-0.21977996826171875,-0.3814205852010938,0.0,-4.614597390382129,15.0,1.0
0.018000000000000002,-0.059510231018066406,-0.059510231018066406,-0.23736190795898438,-0.3814205852010938,0.0,-4.591293404786426,15.0,1.0
0.019,-0.059891700744628906,-0.059891700744628906,-0.23736190795898438,-0.3814205852010938,0.0,-4.5855713588879885,15.0,1.0
0.02,-0.059891700744628906,-0.059891700744628906,-0.22857093811035156,-0.3814205852010938,0.0,-4.594362328736621,15.0,1.0
0.021,-0.060273170471191406,-0.060273170471191406,-0.1846160888671875,-0.3814205852010938,0.0,-4.632595132081348,15.0,1.0
0.022,-0.060273170471191406,-0.060273170471191406,-0.1846160888671875,-0.3814205852010938,0.0,-4.632595132081348,15.0,1.0
0.023,-0.060654640197753906,-0.060654640197753906,-0.21977996826171875,-0.3814205852010938,0.0,-4.591709206788379,15.0,1.0
0.024,-0.060654640197753906,-0.060654640197753906,-0.1758251190185547,-0.3814205852010938,0.0,-4.635664056031543,15.0,1.0
0.025,-0.061036109924316406,-0.061036109924316406,-0.1758251190185547,-0.3814205852010938,0.0,-4.629942010133106,15.0,1.0
0.026000000000000002,-0.061036109924316406,-0.061036109924316406,-0.14945030212402344,-0.3814205852010938,0.0,-4.656316827027637,15.0,1.0
0.027,-0.061036109924316406,-0.061036109924316406,-0.14065933227539062,-0.3814205852010938,0.0,-4.66510779687627,15.0,1.0
0.028,-0.061417579650878906,-0.061417579650878906,-0.09670257568359375,-0.3814205852010938,0.0,-4.703342507569629,15.0,1.0
0.029,-0.061417579650878906,-0.061417579650878906,-0.11428642272949219,-0.3814205852010938,0.0,-4.685758660523731,15.0,1.0
0.03,-0.061417579650878906,-0.061417579650878906,-0.09670257568359375,-0.3814205852010938,0.0,-4.703342507569629,15.0,1.0
0.031,-0.061417579650878906,-0.061417579650878906,-0.07032966613769531,-0.3814205852010938,0.0,-4.729715417115528,15.0,1.0
0.032,-0.061799049377441406,-0.061799049377441406,-0.10549545288085938,-0.3814205852010938,0.0,-4.688827584473926,15.0,1.0
0.033,-0.061799049377441406,-0.061799049377441406,-0.09670257568359375,-0.3814205852010938,0.0,-4.697620461671192,15.0,1.0
0.034,-0.061799049377441406,-0.061799049377441406,-0.10549545288085938,-0.3814205852010938,0.0,-4.688827584473926,15.0,1.0
0.035,-0.062180519104003906,-0.062180519104003906,-0.16703224182128906,-0.3814205852010938,0.0,-4.621568749635059,15.0,1.0
0.036000000000000004,-0.062180519104003906,-0.062180519104003906,-0.20219802856445312,-0.3814205852010938,0.0,-4.586402962891895,15.0,1.0
0.037,-0.0625619888305664,-0.0625619888305664,-0.2637367248535156,-0.3814205852010938,0.0,-4.519142220704395,15.0,1.0
0.038,-0.0625619888305664,-0.0625619888305664,-0.27252769470214844,-0.3814205852010938,0.0,-4.510351250855762,15.0,1.0
0.039,-0.0629434585571289,-0.0629434585571289,-0.2989006042480469,-0.3814205852010938,0.0,-4.478256295411426,15.0,1.0
0.04,-0.0633249282836914,-0.0633249282836914,-0.33406639099121094,-0.3814205852010938,0.0,-4.437368462769824,15.0,1.0
0.041,-0.0637063980102539,-0.0637063980102539,-0.39560508728027344,-0.3814205852010938,0.0,-4.370107720582324,15.0,1.0
