time_s,qpos,qpos_unshifted,qvel,qact,target_qvel,kp,kd
0.0,0.049592018127441406,0.049592018127441406,0.008790969848632812,0.0,0.3772895448688868,10.0,1.0
0.001,0.049592018127441406,0.049592018127441406,0.017581939697265625,0.00037728954486888677,0.3775879213428378,10.0,1.0
0.002,0.049592018127441406,0.049592018127441406,-0.017581939697265625,0.0007551758426856755,0.3781845988117971,10.0,1.0
0.003,0.049592018127441406,0.049592018127441406,0.008790969848632812,0.001133658742492481,0.37878112461038194,10.0,1.0
0.004,0.049592018127441406,0.049592018127441406,0.0,0.0015127380919064393,0.3793774973108357,10.0,1.0
0.005,0.049592018127441406,0.049592018127441406,0.0,0.0018924137371141524,0.3799737154798428,10.0,1.0
0.006,0.049592018127441406,0.049592018127441406,0.0,0.002272685522866125,0.3805697776785185,10.0,1.0
0.007,0.049592018127441406,0.049592018127441406,-0.008790969848632812,0.002653553292471189,0.3811656824624028,10.0,1.0
0.008,0.049592018127441406,0.049592018127441406,0.008790969848632812,0.0030350168877909304,0.38176142838145477,10.0,1.0
0.009000000000000001,0.049592018127441406,0.049592018127441406,0.0,0.0034170761492340993,0.3823570139800436,10.0,1.0
0.01,0.049592018127441406,0.049592018127441406,0.008790969848632812,0.0037997309157510174,0.38295243779694044,10.0,1.0
0.011,0.049592018127441406,0.049592018127441406,0.008790969848632812,0.00418298102482798,0.3835476983653128,10.0,1.0
0.012,0.049592018127441406,0.049592018127441406,0.0,0.004566826312481643,0.3841427942127149,10.0,1.0
0.013000000000000001,0.049592018127441406,0.049592018127441406,0.008790969848632812,0.00495126661325341,0.3847377238610852,10.0,1.0
0.014,0.049592018127441406,0.049592018127441406,0.0,0.005336301760203813,0.38533248582673174,10.0,1.0
0.015,0.049592018127441406,0.049592018127441406,0.0,0.005721931584906873,0.3859270786203304,10.0,1.0
0.016,0.049592018127441406,0.049592018127441406,-0.008790969848632812,0.006108155917444474,0.38652150074692004,10.0,1.0
0.017,0.049592018127441406,0.049592018127441406,0.008790969848632812,0.006494974586400714,0.3871157507058869,10.0,1.0
0.018000000000000002,0.049592018127441406,0.049592018127441406,-0.008790969848632812,0.0068823874188562485,0.3877098269909607,10.0,1.0
0.019,0.049592018127441406,0.049592018127441406,0.008790969848632812,0.007270394240382636,0.38830372809021485,10.0,1.0
0.02,0.049592018127441406,0.049592018127441406,0.008790969848632812,0.0076589948750366765,0.3888974524860469,10.0,1.0
0.021,0.049592018127441406,0.049592018127441406,-0.017581939697265625,0.00804818914535473,0.389490998655182,10.0,1.0
0.022,0.049592018127441406,0.049592018127441406,0.008790969848632812,0.00843797687234704,0.39008436506865785,10.0,1.0
0.023,0.049592018127441406,0.049592018127441406,0.0,0.008828357875492045,0.3906775501918238,10.0,1.0
0.024,0.049592018127441406,0.049592018127441406,0.0,0.009219331972730688,0.39127055248433074,10.0,1.0
0.025,0.049592018127441406,0.049592018127441406,0.008790969848632812,0.009610898980460709,0.391863370400122,10.0,1.0
0.026000000000000002,0.049592018127441406,0.049592018127441406,0.008790969848632812,0.010003058713530933,0.3924560023874273,10.0,1.0
0.027,0.049592018127441406,0.049592018127441406,-0.008790969848632812,0.010395810985235563,0.39304844688876805,10.0,1.0
0.028,0.049592018127441406,0.049592018127441406,0.0,0.010789155607308466,0.39364070234092097,10.0,1.0
0.029,0.049592018127441406,0.049592018127441406,0.0,0.011183092389917406,0.39423276717494105,10.0,1.0
0.03,0.049592018127441406,0.049592018127441406,0.0,0.01157762114165835,0.39482463981614835,10.0,1.0
0.031,0.049592018127441406,0.049592018127441406,0.0,0.011972741669549702,0.39541631868410043,10.0,1.0
0.032,0.049592018127441406,0.049592018127441406,0.0,0.012368453779026551,0.3960078021926101,10.0,1.0
0.033,0.049592018127441406,0.049592018127441406,0.008790969848632812,0.012764757273934923,0.39659908874972327,10.0,1.0
0.034,0.049592018127441406,0.049592018127441406,0.0,0.013161651956525999,0.39719017675772683,10.0,1.0
0.035,0.049592018127441406,0.049592018127441406,0.0,0.013559137627450377,0.3977810646131248,10.0,1.0
0.036000000000000004,0.049592018127441406,0.049592018127441406,0.008790969848632812,0.013957214085752248,0.39837175070663466,10.0,1.0
0.037,0.049592018127441406,0.049592018127441406,-0.017581939697265625,0.014355881128863643,0.3989622334231946,10.0,1.0
0.038,0.049592018127441406,0.049592018127441406,0.008790969848632812,0.014755138552598638,0.3995525111419491,10.0,1.0
0.039,0.049592018127441406,0.049592018127441406,0.0,0.015154986151147541,0.4001425822362261,10.0,1.0
0.04,0.049592018127441406,0.049592018127441406,0.0,0.015555423717071092,0.40073244507355454,10.0,1.0
0.041,0.049592018127441406,0.049592018127441406,-0.008790969848632812,0.01595645104129465,0.401322098015644,10.0,1.0
0.042,0.049592018127441406,0.049592018127441406,0.008790969848632812,0.01635806791310238,0.4019115394183821,10.0,1.0
0.043000000000000003,0.049592018127441406,0.049592018127441406,0.008790969848632812,0.016760274120131417,0.4025007676318282,10.0,1.0
0.044,0.049592018127441406,0.049592018127441406,-0.008790969848632812,0.017163069448366028,0.4030897810001921,10.0,1.0
0.045,0.049592018127441406,0.049592018127441406,0.017581939697265625,0.0175664536821318,0.40367857786186967,10.0,1.0
0.046,0.049592018127441406,0.049592018127441406,0.0,0.017970426604089765,0.4042671565493716,10.0,1.0
0.047,0.049592018127441406,0.049592018127441406,0.0,0.018374987995230546,0.40485551538937514,10.0,1.0
0.048,0.049592018127441406,0.049592018127441406,0.0,0.018780137634868518,0.4054436527026919,10.0,1.0
0.049,0.049592018127441406,0.049592018127441406,0.0,0.01918587530063593,0.4060315668042538,10.0,1.0
0.05,0.049592018127441406,0.049592018127441406,0.0,0.019592200768477026,0.40661925600311477,10.0,1.0
