time_s,qpos,qpos_unshifted,qvel,qact,target_qvel,kp,kd
0.0,0.0,0.0,0.0,0.0,3.1415874858795636,10.0,1.0
0.001,0.0,0.0,0.0,0.0031415874858795635,3.141571982779476,10.0,1.0
0.002,0.0,0.0,0.0,0.006283143965558951,3.141525473632222,10.0,1.0
0.003,0.0,0.0,0.0,0.009424638433144006,3.1414479588968285,10.0,1.0
0.004,0.0,0.0,0.03516578674316406,0.012566039883352607,3.141339439338335,10.0,1.0
0.005,0.0,0.0,0.03516578674316406,0.015707317311820675,3.1411999160277837,10.0,1.0
0.006,0.0,0.0,0.0615386962890625,0.018848439715408175,3.141029390342215,10.0,1.0
0.007,0.0,0.0,0.043956756591796875,0.021989376092505106,3.1408278639646525,10.0,1.0
0.008,0.0003814697265625,0.0003814697265625,0.08791160583496094,0.02513009544333748,3.140595338884072,10.0,1.0
0.009000000000000001,0.0003814697265625,0.0003814697265625,0.10549545288085938,0.028270566770273255,3.140331817395408,10.0,1.0
0.01,0.0003814697265625,0.0003814697265625,0.11428642272949219,0.03141075907812829,3.1400373020995094,10.0,1.0
0.011,0.000762939453125,0.000762939453125,0.14945030212402344,0.034550641374472266,3.1397117959031213,10.0,1.0
0.012,0.000762939453125,0.000762939453125,0.1758251190185547,0.03769018266993454,3.139355302018867,10.0,1.0
0.013000000000000001,0.0011444091796875,0.0011444091796875,0.24615478515625,0.04082935197851,3.138967823965185,10.0,1.0
0.014,0.0011444091796875,0.0011444091796875,0.2549457550048828,0.0439681183178649,3.1385493655663304,10.0,1.0
0.015,0.00152587890625,0.00152587890625,0.3252754211425781,0.04710645070964266,3.138099930952322,10.0,1.0
0.016,0.0019073486328125,0.0019073486328125,0.3252754211425781,0.050244318179769556,3.137619524558904,10.0,1.0
0.017,0.002288818359375,0.002288818359375,0.378021240234375,0.053381689758760474,3.137108151127485,10.0,1.0
0.018000000000000002,0.0026702880859375,0.0026702880859375,0.4483509063720703,0.056518534482024534,3.136565815705115,10.0,1.0
0.019,0.0034332275390625,0.0034332275390625,0.4923076629638672,0.0596548213901707,3.1359925236444255,10.0,1.0
0.02,0.003814697265625,0.003814697265625,0.5274734497070312,0.06279051952931337,3.1353882806035713,10.0,1.0
0.021,0.0041961669921875,0.0041961669921875,0.4923076629638672,0.06592559795137785,3.1347530925462053,10.0,1.0
0.022,0.0049591064453125,0.0049591064453125,0.5538463592529297,0.06906002571440578,3.134086965741382,10.0,1.0
0.023,0.005340576171875,0.005340576171875,0.5186805725097656,0.0721937718828606,3.133389906763469,10.0,1.0
0.024,0.0057220458984375,0.0057220458984375,0.46593475341796875,0.07532680552793272,3.1326619224921757,10.0,1.0
0.025,0.006103515625,0.006103515625,0.41318702697753906,0.07845909572784494,3.1319030201124107,10.0,1.0
0.026000000000000002,0.0064849853515625,0.0064849853515625,0.3868141174316406,0.08159061156815756,3.1311132071142467,10.0,1.0
0.027,0.006866455078125,0.006866455078125,0.3868141174316406,0.08472132214207344,3.1302924912928063,10.0,1.0
0.028,0.0072479248046875,0.0072479248046875,0.39560508728027344,0.08785119655074317,3.1294408807482412,10.0,1.0
0.029,0.00762939453125,0.00762939453125,0.39560508728027344,0.09098020390356992,3.1285583838855757,10.0,1.0
0.03,0.0080108642578125,0.0080108642578125,0.33406639099121094,0.09410831331851431,3.1276450094147066,10.0,1.0
0.031,0.008392333984375,0.008392333984375,0.3164844512939453,0.09723549392239932,3.1267007663502895,10.0,1.0
0.032,0.0087738037109375,0.0087738037109375,0.33406639099121094,0.1003617148512149,3.125725664011604,10.0,1.0
0.033,0.0091552734375,0.0091552734375,0.3164844512939453,0.10348694525042253,3.124719712022504,10.0,1.0
0.034,0.0095367431640625,0.0095367431640625,0.3076915740966797,0.10661115427525991,3.1236829203113743,10.0,1.0
0.035,0.009918212890625,0.009918212890625,0.3076915740966797,0.10973431109104528,3.1226152991108833,10.0,1.0
0.036000000000000004,0.009918212890625,0.009918212890625,0.3076915740966797,0.1128563848734817,3.121516858958053,10.0,1.0
0.037,0.0102996826171875,0.0102996826171875,0.3164844512939453,0.11597734480896137,3.120387610694017,10.0,1.0
0.038,0.01068115234375,0.01068115234375,0.3164844512939453,0.11909716009486973,3.11922756546403,10.0,1.0
0.039,0.0110626220703125,0.0110626220703125,0.28131866455078125,0.12221579993988943,3.1180367347172577,10.0,1.0
0.04,0.011444091796875,0.011444091796875,0.3692302703857422,0.12533323356430426,3.1168151302067173,10.0,1.0
0.041,0.0118255615234375,0.0118255615234375,0.3692302703857422,0.12844943020030286,3.115562763989118,10.0,1.0
0.042,0.01220703125,0.01220703125,0.39560508728027344,0.1315643590922825,3.114279648424855,10.0,1.0
0.043000000000000003,0.0125885009765625,0.0125885009765625,0.3868141174316406,0.1346779894971526,3.1129657961777895,10.0,1.0
0.044,0.012969970703125,0.012969970703125,0.4835166931152344,0.13779029068463805,3.111621220215028,10.0,1.0
0.045,0.0133514404296875,0.0133514404296875,0.5098896026611328,0.14090123193758267,3.1102459338070503,10.0,1.0
0.046,0.0141143798828125,0.0141143798828125,0.4835166931152344,0.14401078255225216,3.1088399505273543,10.0,1.0
0.047,0.014495849609375,0.014495849609375,0.4923076629638672,0.14711891183863737,3.107403284252456,10.0,1.0
0.048,0.0148773193359375,0.0148773193359375,0.5010986328125,0.15022558912075706,3.1059359491616334,10.0,1.0
0.049,0.0156402587890625,0.0156402587890625,0.5538463592529297,0.15333078373696063,3.1044379597368987,10.0,1.0
0.05,0.016021728515625,0.016021728515625,0.624176025390625,0.15643446504023087,3.1029093307628273,10.0,1.0
0.051000000000000004,0.01678466796875,0.01678466796875,0.6065940856933594,0.1595366023984863,3.1013500773263587,10.0,1.0
0.052000000000000005,0.017547607421875,0.017547607421875,0.7384624481201172,0.1626371651948836,3.099760214816726,10.0,1.0
0.053,0.018310546875,0.018310546875,0.7560443878173828,0.1657361228281197,3.098139758925143,10.0,1.0
0.054,0.019073486328125,0.019073486328125,0.8175830841064453,0.16883344471273387,3.096488725644903,10.0,1.0
0.055,0.01983642578125,0.01983642578125,0.9318675994873047,0.17192910027940952,3.0948071312710823,10.0,1.0
0.056,0.0209808349609375,0.0209808349609375,0.8791217803955078,0.17502305897527604,3.09309499240031,10.0,1.0
0.057,0.0217437744140625,0.0217437744140625,0.9406585693359375,0.17811529026421014,3.0913523259306572,10.0,1.0
0.058,0.0225067138671875,0.0225067138671875,0.8527469635009766,0.18120576362713736,3.089579149061578,10.0,1.0
0.059000000000000004,0.0232696533203125,0.0232696533203125,0.8263740539550781,0.18429444856233332,3.08777547929364,10.0,1.0
0.06,0.0244140625,0.0244140625,0.8879127502441406,0.1873813145857246,3.085941334428256,10.0,1.0
0.061,0.025177001953125,0.025177001953125,0.8791217803955078,0.19046633123118986,3.084076732567823,10.0,1.0
0.062,0.0263214111328125,0.0263214111328125,0.9582424163818359,0.19354946805086023,3.0821816921150997,10.0,1.0
0.063,0.0270843505859375,0.0270843505859375,0.9406585693359375,0.19663069461542007,3.08025623177339,10.0,1.0
0.064,0.028228759765625,0.028228759765625,0.9846153259277344,0.19970998051440703,3.0783003705462164,10.0,1.0
0.065,0.02899169921875,0.02899169921875,0.9582424163818359,0.2027872953565125,3.076314127737149,10.0,1.0
0.066,0.0301361083984375,0.0301361083984375,0.9758243560791016,0.20586260876988133,3.0742975229495926,10.0,1.0
0.067,0.0308990478515625,0.0308990478515625,0.8527469635009766,0.2089358904024117,3.0722505760866454,10.0,1.0
0.068,0.031662940979003906,0.031662940979003906,0.8263740539550781,0.21200710992205463,3.070173307350842,10.0,1.0
0.069,0.032425880432128906,0.032425880432128906,0.9054946899414062,0.21507623701711337,3.0680657372439697,10.0,1.0
0.07,0.033570289611816406,0.033570289611816406,0.9054946899414062,0.21814324139654256,3.0659278865668824,10.0,1.0
0.07100000000000001,0.034714698791503906,0.034714698791503906,1.0197811126708984,0.22120809279024714,3.063759776419303,10.0,1.0
