time_s,qpos,qpos_unshifted,qvel,qact,target_qvel,qtorque_cmd,kp,kd
0.0,-0.019073486328125,-0.019073486328125,0.008790969848632812,-0.3814205852010938,0.0,-5.443997452943164,15.0,1.0
0.001,-0.019073486328125,-0.019073486328125,0.0,-0.3814205852010938,0.0,-5.4352064830945315,15.0,1.0
0.002,-0.019073486328125,-0.019073486328125,-0.017581939697265625,-0.3814205852010938,0.0,-5.417624543397266,15.0,1.0
0.003,-0.019073486328125,-0.019073486328125,-0.026372909545898438,-0.3814205852010938,0.0,-5.408833573548633,15.0,1.0
0.004,-0.0194549560546875,-0.0194549560546875,-0.05274772644042969,-0.3814205852010938,0.0,-5.376736710755664,15.0,1.0
0.005,-0.0194549560546875,-0.0194549560546875,-0.09670257568359375,-0.3814205852010938,0.0,-5.3327818615125,15.0,1.0
0.006,-0.0194549560546875,-0.0194549560546875,-0.10549545288085938,-0.3814205852010938,0.0,-5.323988984315235,15.0,1.0
0.007,-0.01983642578125,-0.01983642578125,-0.16703224182128906,-0.3814205852010938,0.0,-5.256730149476367,15.0,1.0
0.008,-0.01983642578125,-0.01983642578125,-0.1934070587158203,-0.3814205852010938,0.0,-5.230355332581836,15.0,1.0
0.009000000000000001,-0.0202178955078125,-0.0202178955078125,-0.24615478515625,-0.3814205852010938,0.0,-5.171885560242969,15.0,1.0
0.01,-0.0202178955078125,-0.0202178955078125,-0.2989006042480469,-0.3814205852010938,0.0,-5.119139741151172,15.0,1.0
0.011,-0.020599365234375,-0.020599365234375,-0.33406639099121094,-0.3814205852010938,0.0,-5.0782519085095705,15.0,1.0
0.012,-0.0209808349609375,-0.0209808349609375,-0.2989006042480469,-0.3814205852010938,0.0,-5.107695649354297,15.0,1.0
0.013000000000000001,-0.0213623046875,-0.0213623046875,-0.2989006042480469,-0.3814205852010938,0.0,-5.10197360345586,15.0,1.0
0.014,-0.0217437744140625,-0.0217437744140625,-0.3692302703857422,-0.3814205852010938,0.0,-5.025921891419727,15.0,1.0
0.015,-0.022125244140625,-0.022125244140625,-0.3868141174316406,-0.3814205852010938,0.0,-5.002615998475391,15.0,1.0
0.016,-0.0225067138671875,-0.0225067138671875,-0.3604393005371094,-0.3814205852010938,0.0,-5.023268769471485,15.0,1.0
0.017,-0.02288818359375,-0.02288818359375,-0.33406639099121094,-0.3814205852010938,0.0,-5.0439196331189455,15.0,1.0
0.018000000000000002,-0.02288818359375,-0.02288818359375,-0.3164844512939453,-0.3814205852010938,0.0,-5.061501572816211,15.0,1.0
0.019,-0.0232696533203125,-0.0232696533203125,-0.2989006042480469,-0.3814205852010938,0.0,-5.073363373963672,15.0,1.0
0.02,-0.023651123046875,-0.023651123046875,-0.27252769470214844,-0.3814205852010938,0.0,-5.094014237611133,15.0,1.0
0.021,-0.0240325927734375,-0.0240325927734375,-0.2637367248535156,-0.3814205852010938,0.0,-5.097083161561328,15.0,1.0
0.022,-0.0240325927734375,-0.0240325927734375,-0.24615478515625,-0.3814205852010938,0.0,-5.114665101258594,15.0,1.0
0.023,-0.0244140625,-0.0244140625,-0.23736190795898438,-0.3814205852010938,0.0,-5.117735932557422,15.0,1.0
0.024,-0.0247955322265625,-0.0247955322265625,-0.2637367248535156,-0.3814205852010938,0.0,-5.085639069764453,15.0,1.0
0.025,-0.0247955322265625,-0.0247955322265625,-0.24615478515625,-0.3814205852010938,0.0,-5.103221009461719,15.0,1.0
0.026000000000000002,-0.025177001953125,-0.025177001953125,-0.22857093811035156,-0.3814205852010938,0.0,-5.11508281060918,15.0,1.0
0.027,-0.025177001953125,-0.025177001953125,-0.1846160888671875,-0.3814205852010938,0.0,-5.159037659852344,15.0,1.0
0.028,-0.0255584716796875,-0.0255584716796875,-0.1934070587158203,-0.3814205852010938,0.0,-5.144524644105274,15.0,1.0
0.029,-0.0255584716796875,-0.0255584716796875,-0.21098899841308594,-0.3814205852010938,0.0,-5.126942704408008,15.0,1.0
0.03,-0.02593994140625,-0.02593994140625,-0.20219802856445312,-0.3814205852010938,0.0,-5.130011628358203,15.0,1.0
0.031,-0.02593994140625,-0.02593994140625,-0.20219802856445312,-0.3814205852010938,0.0,-5.130011628358203,15.0,1.0
0.032,-0.0263214111328125,-0.0263214111328125,-0.1934070587158203,-0.3814205852010938,0.0,-5.133080552308399,15.0,1.0
0.033,-0.026702880859375,-0.026702880859375,-0.1934070587158203,-0.3814205852010938,0.0,-5.127358506409961,15.0,1.0
0.034,-0.026702880859375,-0.026702880859375,-0.20219802856445312,-0.3814205852010938,0.0,-5.118567536561328,15.0,1.0
0.035,-0.0270843505859375,-0.0270843505859375,-0.20219802856445312,-0.3814205852010938,0.0,-5.112845490662891,15.0,1.0
0.036000000000000004,-0.0270843505859375,-0.0270843505859375,-0.24615478515625,-0.3814205852010938,0.0,-5.068888734071094,15.0,1.0
0.037,-0.0274658203125,-0.0274658203125,-0.27252769470214844,-0.3814205852010938,0.0,-5.036793778626758,15.0,1.0
0.038,-0.0278472900390625,-0.0278472900390625,-0.3252754211425781,-0.3814205852010938,0.0,-4.978324006287891,15.0,1.0
0.039,-0.028228759765625,-0.028228759765625,-0.34285736083984375,-0.3814205852010938,0.0,-4.955020020692188,15.0,1.0
0.04,-0.0286102294921875,-0.0286102294921875,-0.39560508728027344,-0.3814205852010938,0.0,-4.8965502483533205,15.0,1.0
0.041,-0.02899169921875,-0.02899169921875,-0.4395599365234375,-0.3814205852010938,0.0,-4.846873353211719,15.0,1.0
0.042,-0.0293731689453125,-0.0293731689453125,-0.41318702697753906,-0.3814205852010938,0.0,-4.86752421685918,15.0,1.0
0.043000000000000003,-0.029754638671875,-0.029754638671875,-0.4395599365234375,-0.3814205852010938,0.0,-4.835429261414844,15.0,1.0
